,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
27,4946.0,2076742.0,2013-02-12,4008470370,2013-01-05,396.0,9,6,57,49,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5413.0,2076742.0,2013-02-12,4008462020,2013-01-05,145.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,392.0,0.0,0.0,0.0
29,5599.0,2076806.0,2013-02-13,4008444753,2013-01-05,29.0,6,6,56,61,39.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,92.0,0.0,0.0,0.0
30,4371.0,2077778.0,2013-02-28,4008408671,2013-01-05,165.0,12,13,56,139,54.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,20.0,0.0,0.0,0.0
31,13258.0,2076742.0,2013-02-12,4008455096,2013-01-05,527.0,11,6,56,101,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3493.0,2078152.0,2013-03-06,4008429765,2013-01-05,24.0,3,6,56,25,60.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,104.09,0.0,0.0,0.0
33,440.0,2079013.0,2013-03-19,4008427488,2013-01-05,45.0,3,6,56,77,73.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,326.6,0.0,0.0,0.0
34,12647.0,2076981.0,2013-02-15,4008453401,2013-01-05,175.0,2,6,56,26,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,62.0,0.0,0.0,0.0
35,13147.0,2076342.0,2013-02-05,4008486652,2013-01-05,145.0,9,6,2,50,31.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,472.0,0.0,0.0,0.0
36,1878.0,2076742.0,2013-02-12,4008405263,2013-01-05,159.94,11,6,56,95,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,319.88,0.0,0.0,0.0
37,4394.0,2076742.0,2013-02-12,4008399707,2013-01-05,118.09,11,6,56,98,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8941.0,2076806.0,2013-02-13,4008455392,2013-01-05,53.0,12,6,56,140,39.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,146.0,0.0,0.0,0.0
39,136.0,2077730.0,2013-02-27,4008492831,2013-01-05,12.0,12,6,58,53,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,1003.2,0.0,0.0,0.0
40,2635.0,2076742.0,2013-02-12,4008431675,2013-01-05,159.94,11,6,56,92,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,11083.0,2076935.0,2013-02-14,4008470492,2013-01-05,175.0,4,6,56,80,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,37.0,0.0,0.0,0.0
42,13961.0,2077458.0,2013-02-21,4008454952,2013-01-05,135.0,5,6,56,44,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,53.0,0.0,0.0,0.0
43,236.0,2076981.0,2013-02-15,4008459368,2013-01-05,175.0,10,6,56,120,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4719.0,2081679.0,2013-04-29,4008471951,2013-01-05,84.03,10,6,56,84,114.0,0,3,2013.0,1.0,5.0,1,0.0,0.0,1.0,92.0,0.0,0.0,0.0
45,8470.0,2076981.0,2013-02-15,4008470369,2013-01-05,92.0,10,6,56,88,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,88.0,0.0,0.0,0.0
46,2826.0,2076135.0,2013-01-31,4008428342,2013-01-05,18.0,4,6,56,38,26.0,1,1,2013.0,1.0,5.0,1,0.0,0.0,7.0,636.0,0.0,0.0,0.0
47,10659.0,2076742.0,2013-02-12,4008447584,2013-01-05,45.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,492.0,0.0,0.0,0.0
48,9171.0,2076742.0,2013-02-12,4008395054,2013-01-05,61.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,476.0,0.0,0.0,0.0
49,10500.0,2076742.0,2013-02-12,4008399710,2013-01-05,118.09,11,6,56,99,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,13244.0,2076742.0,2013-02-12,4008432573,2013-01-05,159.94,11,6,56,95,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,319.88,0.0,0.0,0.0
51,7597.0,2076981.0,2013-02-15,4008390480,2013-01-05,159.95,10,6,56,89,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,159.95,0.0,0.0,0.0
52,1398.0,2076742.0,2013-02-12,4008405993,2013-01-05,74.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,463.0,0.0,0.0,0.0
53,3043.0,2077730.0,2013-02-27,4008486722,2013-01-05,45.0,6,6,56,16,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,371.62,0.0,0.0,0.0
54,10867.0,2076742.0,2013-02-12,4008435880,2013-01-05,228.56,11,6,56,62,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,4550.0,2077458.0,2013-02-21,4008466774,2013-01-05,87.0,5,6,56,43,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,41.0,0.0,0.0,0.0
56,977.0,2076981.0,2013-02-15,4008395236,2013-01-05,94.09,10,6,56,116,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,94.09,0.0,0.0,0.0
57,249.0,2076981.0,2013-02-15,4008480833,2013-01-05,159.95,10,6,56,127,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,21.0,0.0,0.0,0.0
58,5834.0,2076935.0,2013-02-14,4008444625,2013-01-05,199.5,8,6,56,52,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,241.5,0.0,0.0,0.0
59,6600.0,2076742.0,2013-02-12,4008447226,2013-01-05,272.29,11,6,56,93,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,11349.0,2076981.0,2013-02-15,4008417690,2013-01-05,94.09,10,6,56,109,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,7548.0,2076981.0,2013-02-15,4008426530,2013-01-05,21.0,10,6,56,127,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,159.95,0.0,0.0,0.0
62,408.0,2076742.0,2013-02-12,4008448170,2013-01-05,447.96,11,6,56,135,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,4891.0,2081328.0,2013-04-23,4008409242,2013-01-05,33.0,1,6,46,7,108.0,0,3,2013.0,1.0,5.0,1,0.0,0.0,1.0,175.0,0.0,0.0,0.0
64,2359.0,2077730.0,2013-02-27,4008490398,2013-01-05,165.0,12,6,56,69,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,304.31,0.0,0.0,0.0
65,13953.0,2076981.0,2013-02-15,4008420509,2013-01-05,94.09,10,6,56,113,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6379.0,2076981.0,2013-02-15,4008717460,2013-01-05,94.09,10,6,56,119,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,11831.0,2078339.0,2013-03-08,4008699667,2013-01-05,114.0,7,6,67,137,62.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,172.0,0.0,0.0,0.0
68,13686.0,2077730.0,2013-02-27,4008457466,2013-01-05,326.62,6,6,56,16,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,90.0,0.0,0.0,0.0
69,6886.0,2076981.0,2013-02-15,4008486509,2013-01-05,145.0,9,6,2,31,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,324.43,0.0,0.0,0.0
70,1390.0,2078152.0,2013-03-06,4008428491,2013-01-05,94.09,3,6,56,25,60.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,34.0,0.0,0.0,0.0
71,2174.0,2076981.0,2013-02-15,4008392356,2013-01-05,94.09,10,6,56,116,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,94.09,0.0,0.0,0.0
72,11950.0,2077730.0,2013-02-27,4008438782,2013-01-05,94.09,12,6,58,58,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,45.0,0.0,0.0,0.0
73,3724.0,2076742.0,2013-02-12,4008457027,2013-01-05,61.0,6,6,64,74,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,45.0,0.0,0.0,0.0
74,2152.0,2076806.0,2013-02-13,4008407757,2013-01-05,92.0,6,6,56,61,39.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,29.0,0.0,0.0,0.0
75,2433.0,2076742.0,2013-02-12,4008453046,2013-01-05,45.0,6,6,64,74,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,61.0,0.0,0.0,0.0
76,20.0,2077376.0,2013-02-20,4008420721,2013-01-05,175.0,7,6,56,47,46.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
