,Supplier Name,Supplier Number,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Po Number,Receipt Number,Department,Account Description,Fund Description,Cost Center Description,Minority Owned,Small Business,Women Owned,City,State,Zip,Country,Vendor Id,Days to Pay,Compliant Indicator
274135,Canon Solutions America,866161,2163465,08/01/2017 12:00:00 AM,17547118,07/13/2017 12:00:00 AM,82.75,526878.0,175178.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Carver,No,No,No,"Chicago,","IL,",60693,US,190422,19,Yes
274191,Canon Solutions America,866161,2211952,10/29/2020 12:00:00 AM,21832469,08/31/2020 12:00:00 AM,142.36,552282.0,301290.0,Youth & Family Development,Office Machine Rental,2021 Head Start,Head Start Centers,No,No,No,"Chicago,","IL,",60693-0149,US,190422,59,No
274267,Canon Solutions America,866161,2163465,08/01/2017 12:00:00 AM,17547130,07/13/2017 12:00:00 AM,82.75,526878.0,175176.0,Youth & Family Development,Office Machine Rental,General Fund,Recreation Support Services,No,No,No,"Chicago,","IL,",60693,US,190422,19,Yes
274281,Canon Solutions America,866161,2151838,12/02/2016 12:00:00 AM,16603530,10/13/2016 12:00:00 AM,277.58,526878.0,151478.0,General Gov't & Agencies,Equipment Rental,Regional Planning Agency,RPA - Agency Operations,No,No,No,"Chicago,","IL,",60693,US,190422,50,No
274310,Canon Solutions America,866161,2197698,09/18/2019 12:00:00 AM,19576294,12/31/2018 12:00:00 AM,173.21,552282.0,259088.0,Public Works,Office Machine Rental,General Fund,Building Maintenance,No,No,No,"Chicago,","IL,",60693-0149,US,190422,261,No
274336,Canon Solutions America,866161,2155338,02/20/2017 12:00:00 AM,16706605,11/12/2016 12:00:00 AM,147.75,526878.0,156426.0,General Services,Office Machine Rental,Municipal Garage,Rep & Maint - 12th & Park Garage,No,No,No,"Chicago,","IL,",60693,US,190422,100,No
274350,Canon Solutions America,866161,2123555,06/12/2015 12:00:00 AM,4016145851,06/01/2015 12:00:00 AM,208.3,526315.0,113363.0,General Gov't & Agencies,Equipment Rental,General Fund,Purchasing,No,No,No,"Chicago,","IL,",60693,US,190422,11,Yes
274369,Canon Solutions America,866161,2215279,02/18/2021 12:00:00 AM,22290363,12/31/2020 12:00:00 AM,133.52,552282.0,312196.0,Police,Office Machine Rental,General Fund,Police Patrol Alpha,No,No,No,"Chicago,","IL,",60693-0149,US,190422,49,No
274397,Canon Solutions America,866161,2091494,10/14/2013 12:00:00 AM,4010880973,10/01/2013 12:00:00 AM,159.94,521447.0,73098.0,Police,Equipment Rental,General Fund,Police Patrol Alpha,No,No,No,"Chicago,","IL,",60693,US,190422,13,Yes
274403,Canon Solutions America,866161,2220719,07/27/2021 12:00:00 AM,26822937,05/29/2021 12:00:00 AM,83.1,552282.0,328579.0,General Gov't & Agencies,Office Machine Rental,General Fund,311 Call Center,No,No,No,"Chicago,","IL,",60693-0149,US,190422,59,No
274466,Canon Solutions America,866161,2131946,11/11/2015 12:00:00 AM,15397005,10/13/2015 12:00:00 AM,82.75,526878.0,124571.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - John A. Patten,No,No,No,"Chicago,","IL,",60693,US,190422,29,Yes
274484,Canon Solutions America,866161,2192286,05/13/2019 12:00:00 AM,20020446,04/30/2019 12:00:00 AM,190.01,526878.0,244712.0,Public Works,Office Machine Rental,General Fund,City Engineer,No,No,No,"Chicago,","IL,",60693-0149,US,190422,13,Yes
274502,Canon Solutions America,866161,2181143,08/23/2018 12:00:00 AM,19105113,08/14/2018 12:00:00 AM,41.55,526878.0,216169.0,Police,Office Machine Rental,General Fund,Police Admin Support & Tech Svcs,No,No,No,"Chicago,","IL,",60693-0149,US,190422,9,Yes
